vote	source
4	https://equestria.social/@DoodleDonut/111891254387306118
4	https://pone.social/@thebatfang/111880713340616801
4	https://pone.social/@thebatfang/111907571641696240
4	https://pone.social/@Maretian/111892371724980527
4	https://pone.social/@thebatfang/111907576042528251
3	https://equestria.social/@sollace/111879718311340384
3	https://hooves.social/notes/9ph0ckxwx7x755vg
3	https://equestria.social/@DoodleDonut/111893388976732079
3	https://equestria.social/@Limit/111880190789656274
3	https://equestria.social/@Kruszynka25/111906958464206168
3	https://equestria.social/@Juby_Skylines/111897052720584213
3	https://equestria.social/@DoodleDonut/111898054332628055
3	https://mastodon.ml/@Ekaterina/111891249630489245
3	https://hooves.social/notes/9ph082qof3w3xe38
3	https://socel.net/@cutepencilcase/111907788750277270
3	https://equestria.social/@wirelune/111883976596892912
3	https://equestria.social/@ellyponey/111901353045800134
3	https://hooves.social/notes/9ph09bhkeof8dct2
3	https://mastodon.art/@typhwosion/111871045697370279
3	https://equestria.social/@StarsongDusk/111906270458947673
3	https://equestria.social/@Dasha_Moone/111896106106237397
2	https://pone.social/@hattsy/111881730422285228
2	https://pone.social/@reddthebat/111909157006704357
2	https://equestria.social/@yoshter7/111908496243318244
2	https://equestria.social/@ellyponey/110472090238217997
2	https://equestria.social/@thatonegib/111907710555016286
2	https://equestria.social/@DoodleDonut/111897703362169643
2	https://equestria.social/@oddwarg/111908613513833174
2	https://meow.social/@BaronEngel/111881112519659952
2	https://equestria.social/@DoodleDonut/111892243099740945
2	https://equestria.social/@DoodleDonut/111888170772348333
2	https://equestria.social/@DoodleDonut/111897384778246775
1	https://meow.social/@BaronEngel/111885692521629955
1	https://equestria.social/@sweetdreams/111895010156570439
1	https://equestria.social/@eve/111909174465465070
1	https://equestria.social/@Zeepheru/111903300159678699
1	https://equestria.social/@cushyhoof/111903054164938616
0	https://octodon.social/@MelodiSmol/111895310345386108
0	https://equestria.social/@AlzMarioWolfe/111897987865256139
0	https://mastodon.art/@typhwosion/111910029943916494
0	https://equestria.social/@AterHut/111902472423929683
0	https://octodon.social/@MelodiSmol/111899023595977129
