vote	source
4	https://equestria.social/@zutcha/112038965040153199
4	https://hooves.social/notes/9ql54lvfyyk956x4
4	https://equestria.social/@StarsongDusk/112065047592773546
4	https://equestria.social/@Juby_Skylines/112029070905518511
4	https://equestria.social/@rhythmpixel/112045093681749699
4	https://equestria.social/@Juby_Skylines/112067204659840585
4	https://equestria.social/@ludeka/112027001315835919
4	https://mastodon.ml/@Ekaterina/112038288150055805
4	https://socel.net/@cutepencilcase/112045193016930195
4	https://equestria.social/@AlzMarioWolfe/112032810947731451
3	https://equestria.social/@StarsongDusk/112028742320420345
3	https://mastodon.art/@typhwosion/112039005516060859
3	https://hooves.social/notes/9qfgiueopoc4ikni
3	https://hooves.social/notes/9qe47zcoa11pygu5
3	https://equestria.social/@memprices/112024108126791931
3	https://socel.net/@cutepencilcase/112026811849674347
3	https://equestria.social/@thatonegib/112033615035977687
3	https://pone.social/@thebatfang/112041031243718046
3	https://pone.social/@thebatfang/112044682957026367
2	https://equestria.social/@ElusivePurple/112054729184442686
2	https://equestria.social/@CoffeeCal/112042092563178569
2	https://meow.social/@BaronEngel/112027364196416842
2	https://pone.social/@spoon/112035835492121310
2	https://equestria.social/@cushyhoof/112050569753422330
2	https://pone.social/@thebatfang/112033208515723222
2	https://pone.social/@algoatall/112063927053082804
2	https://equestria.social/@PonyrailArtist/112047971340245170
2	https://equestria.social/@sweetdreams/112064893763424002
2	https://equestria.social/@Tidenloria/112031677167357520
2	https://equestria.social/@cushyhoof/112061854474597940
2	https://equestria.social/@zutcha/112039945456178545
2	https://equestria.social/@Zeepheru/112037886095318054
2	https://pone.social/@ViolaVaquita/112030148092912020
2	https://equestria.social/@Nitobit/112044435420286156
1	https://equestria.social/@PureBlueHeart/112038772822515735
1	https://equestria.social/@yoshter7/112067368021892973
1	https://equestria.social/@FrownFactory/112050352997494663
1	https://equestria.social/@joaothejohndraws/112026767627094762
1	https://equestria.social/@art_buckweiser/112024600638032340
1	https://mastodon.art/@AlexDTI/112043910141018497
1	https://mastodon.art/@AlexDTI/112038243205183441
